"ccode","year","revstate","fatality","hostlev"
"alg",1970,0,0,1
"alg",1971,0,0,0
"alg",1972,0,0,0
"alg",1973,0,0,0
"alg",1974,0,0,0
"alg",1975,1,0,2
"alg",1976,0,0,0
"alg",1977,0,0,0
"alg",1978,0,0,0
"alg",1979,0,0,0
"alg",1980,0,0,1
"alg",1981,0,0,0
"alg",1982,0,0,0
"alg",1983,0,0,0
"alg",1984,0,0,4
"alg",1985,0,0,0
"alg",1986,0,0,0
"alg",1987,0,0,0
"alg",1988,0,0,0
"alg",1989,0,0,0
"alg",1990,0,0,0
"alg",1991,0,0,0
"alg",1992,0,0,0
"alg",1993,0,0,0
"alg",1994,0,0,0
"alg",1995,0,0,0
"alg",1996,0,0,0
"alg",1997,0,0,0
"alg",1998,0,0,0
"alg",1999,0,0,0
"alg",2000,0,0,0
"alg",2001,0,0,0
"alg",2002,0,0,0
"alg",2003,0,0,3
"alg",2004,0,0,0
"alg",2005,0,0,0
"alg",2006,0,0,0
"alg",2007,0,0,0
"alg",2008,0,0,0
"alg",2009,0,0,0
"alg",2010,0,0,0
"alg",2011,0,0,0
"alg",2012,0,0,0
"alg",2013,0,0,0
"alg",2014,0,0,0
"ang",1816,0,0,0
"ang",1817,0,0,0
"ang",1818,0,0,0
"ang",1819,0,0,0
"ang",1820,0,0,0
"ang",1821,0,0,0
"ang",1822,0,0,0
"ang",1823,0,0,0
"ang",1824,0,0,0
"ang",1825,0,0,0
"ang",1826,0,0,0
"ang",1827,0,0,0
"ang",1828,0,0,0
"ang",1829,0,0,0
"ang",1830,0,0,0
"ang",1831,0,0,0
"ang",1832,0,0,0
"ang",1833,0,0,0
"ang",1834,0,0,0
"ang",1835,0,0,0
"ang",1836,0,0,0
"ang",1837,0,0,0
"ang",1838,0,0,0
"ang",1839,0,0,0
"ang",1840,0,0,0
"ang",1841,0,0,0
"ang",1842,0,0,0
"ang",1843,0,0,0
"ang",1844,0,0,0
"ang",1845,0,0,0
"ang",1846,0,0,0
"ang",1847,0,0,0
"ang",1848,0,0,0
"ang",1849,0,0,0
"ang",1850,0,0,0
"ang",1851,0,0,0
"ang",1852,0,0,0
"ang",1853,0,0,0
"ang",1854,0,0,0
"ang",1855,0,0,0
"ang",1856,0,0,0
"ang",1857,0,0,0
"ang",1858,0,0,0
"ang",1859,0,0,0
"ang",1860,0,0,0
"ang",1861,0,0,0
"ang",1862,0,0,0
"ang",1863,0,0,0
"ang",1864,0,0,0
"ang",1865,0,0,0
"ang",1866,0,0,0
"ang",1867,0,0,0
"ang",1868,0,0,0
"ang",1869,0,0,0
"ang",1870,0,0,0
"ang",1871,0,0,0
"ang",1872,0,0,0
"ang",1873,0,0,0
"ang",1874,0,0,0
"ang",1875,0,0,0
"ang",1876,0,0,0
"ang",1877,0,0,0
"ang",1878,0,0,0
"ang",1879,0,0,0
"ang",1880,0,0,0
"ang",1881,0,0,0
"ang",1882,0,0,0
"ang",1883,0,0,0
"ang",1884,0,0,0
"ang",1885,0,0,0
"ang",1886,0,0,0
"ang",1887,0,0,0
"ang",1888,0,0,0
"ang",1889,0,0,0
"ang",1890,0,0,0
"ang",1891,0,0,0
"ang",1892,0,0,0
"ang",1893,0,0,0
"ang",1894,0,0,0
"ang",1895,0,0,0
"ang",1896,0,0,0
"ang",1897,0,0,0
"ang",1898,0,0,0
"ang",1899,0,0,0
"ang",1900,0,0,0
"ang",1901,0,0,0
"ang",1902,0,0,0
"ang",1903,0,0,0
"ang",1904,0,0,0
"ang",1905,0,0,0
"ang",1906,0,0,0
"ang",1907,0,0,0
"ang",1908,0,0,0
"ang",1909,0,0,0
"ang",1910,0,0,0
"ang",1911,0,0,0
"ang",1912,0,0,0
"ang",1913,0,0,0
"ang",1914,0,0,0
"ang",1915,0,0,0
"ang",1916,0,0,0
"ang",1917,0,0,0
"ang",1918,0,0,0
"ang",1919,0,0,0
"ang",1920,0,0,0
"ang",1921,0,0,0
"ang",1922,0,0,0
"ang",1923,0,0,0
"ang",1924,0,0,0
"ang",1925,0,0,0
"ang",1926,0,0,0
"ang",1927,0,0,0
"ang",1928,0,0,0
"ang",1929,0,0,0
"ang",1930,0,0,0
"ang",1931,0,0,0
"ang",1932,0,0,0
"ang",1933,0,0,0
"ang",1934,0,0,0
"ang",1935,0,0,0
"ang",1936,0,0,0
"ang",1937,0,0,0
"ang",1938,0,0,0
"ang",1939,0,0,0
"ang",1940,0,0,0
"ang",1941,0,0,0
"ang",1942,0,0,0
"ang",1943,0,0,0
"ang",1944,0,0,0
"ang",1945,0,0,0
"ang",1946,0,0,0
"ang",1947,0,0,0
"ang",1948,0,0,0
"ang",1949,0,0,0
"ang",1950,0,0,0
"ang",1951,0,0,0
"ang",1952,0,0,0
"ang",1953,0,0,0
"ang",1954,0,0,0
"ang",1955,0,0,0
"ang",1956,0,0,0
"ang",1957,0,0,0
"ang",1958,0,0,0
"ang",1959,0,0,0
"ang",1960,0,0,0
"ang",1961,0,0,0
"ang",1962,0,0,0
"ang",1963,0,0,0
"ang",1964,0,0,0
"ang",1965,0,0,0
"ang",1966,0,0,0
"ang",1967,0,0,0
"ang",1968,0,0,0
"ang",1969,0,0,0
"ang",1970,0,0,0
"ang",1971,0,0,0
"ang",1972,0,0,0
"ang",1973,0,0,0
"ang",1974,0,0,0
"ang",1975,0,0,0
"ang",1976,0,0,0
"ang",1977,0,3,4
"ang",1978,0,0,2.5
"ang",1979,0,0,1
"ang",1980,0,0,0
"ang",1981,0,0,0
"ang",1982,0,0,0
"ang",1983,0,0,0
"ang",1984,0,0,0
"ang",1985,0,0,0
"ang",1986,0,0,0
"ang",1987,0,0,0
"ang",1988,0,0,0
"ang",1989,0,0,0
"ang",1990,0,0,0
"ang",1991,0,0,0
"ang",1992,0,0,0
"ang",1993,0,0,0
"ang",1994,0,0,1
"ang",1995,0,1,4
"ang",1996,0,0,0
"ang",1997,1,0,3
"ang",1998,0,0,0
"ang",1999,0,0,0
"ang",2000,0,0,0
"ang",2001,1,1,4
"ang",2002,0,0,4
"ang",2003,0,0,0
"ang",2004,0,0,0
"ang",2005,0,0,3
"ang",2006,0,0,0
"ang",2007,0,0,0
"ang",2008,0,0,0
"ang",2009,0,0,4
"ang",2010,0,0,0
"ang",2011,0,0,0
"ang",2012,0,0,0
"ang",2013,1,0,4
"ang",2014,0,0,0
"arg",1816,0,0,0
"arg",1817,0,0,0
"arg",1818,0,0,0
"arg",1819,0,0,0
"arg",1820,0,0,0
"arg",1821,0,0,0
"arg",1822,0,0,0
"arg",1823,0,0,0
"arg",1824,0,0,0
"arg",1825,0,0,0
"arg",1826,0,0,0
"arg",1827,0,0,0
"arg",1828,0,0,0
"arg",1829,0,0,0
"arg",1830,0,0,0
"arg",1831,0,0,0
"arg",1832,0,0,0
"arg",1833,0,0,0
"arg",1834,0,0,0
"arg",1835,0,0,0
"arg",1836,0,0,0
"arg",1837,0,0,0
"arg",1838,0,0,0
"arg",1839,0,0,0
"arg",1840,0,0,0
"arg",1841,0,0,0
"arg",1842,0,0,1
"arg",1843,0.5,0,1
"arg",1844,1,0,1
"arg",1845,0,0,0
"arg",1846,0,0,4
"arg",1847,0,0,0
"arg",1848,0,0,0
"arg",1849,0,0,0
"arg",1850,0,0,4
"arg",1851,0.5,2.5,4.5
"arg",1852,1,5,5
"arg",1853,0,0,0
"arg",1854,0,0,0
"arg",1855,0,0,0
"arg",1856,0,0,0
"arg",1857,0,0,0
"arg",1858,0,0,0
"arg",1859,0,0,0
"arg",1860,0,0,0
"arg",1861,0,0,0
"arg",1862,0,0,0
"arg",1863,0,0,0
"arg",1864,0,0,0
"arg",1865,1,6,5
"arg",1866,1,3,3
"arg",1867,1,6,5
"arg",1868,1,6,5
"arg",1869,1,6,5
"arg",1870,1,6,5
"arg",1871,0,0,0
"arg",1872,1,0,3
"arg",1873,0,0,0
"arg",1874,0,0,1
"arg",1875,1,0,3
"arg",1876,1,0,3
"arg",1877,0,0,0
"arg",1878,1,0,3
"arg",1879,1,0,4
"arg",1880,0,0,4
"arg",1881,0,0,0
"arg",1882,0,0,0
"arg",1883,0,0,0
